company,written_premium_(b),market_share,earned_premium_(b),incurred_loss_(b),loss_ratio,year
Employers Mut Cas Co - 21415," 1,384,097 ",0.1499%," 1,337,956 "," 973,826 ",72.78%,2017
Encompass Ins Co - 10358," 5,572,920 ",0.6036%," 5,515,011 "," 2,921,547 ",52.97%,2017
Everest Natl Ins Co  - 10120," 176,993 ",0.0192%," 186,154 "," 64,705 ",34.76%,2017
Exact Prop & Cas Co Inc - 10318," 1,745,236 ",0.1890%," 1,763,433 "," 846,056 ",47.98%,2017
Factory Mut Ins Co - 21482," 20,268,466 ",2.1952%," 22,068,839 "," 58,638,285 ",265.71%,2017
Farmers Ins Exch - 21652," 10,333,512 ",1.1192%," 10,665,421 "," 5,355,233 ",50.21%,2017
Farmland Mut Ins Co - 13838," 29,830 ",0.0032%," 1,659 "," 29,252 ",1763.23%,2017
Federal Ins Co - 20281," 1,802,443 ",0.1952%," 1,624,046 "," 26,718 ",1.65%,2017
Federated Mut Ins Co - 13935," 3,607,452 ",0.3907%," 3,566,393 "," 1,162,400 ",32.59%,2017
Federated Rural Electric Ins Exch - 11118," 40,611 ",0.0044%," 40,624 "," 2,605 ",6.41%,2017
Federated Serv Ins Co - 28304," 658,706 ",0.0713%," 671,842 "," (35,199)",-5.24%,2017
Fidelity & Deposit Co Of MD  - 39306," 7,506,364 ",0.8130%," 7,176,362 "," 4,241,823 ",59.11%,2017
Financial Pacific Ins Co - 31453," 1,117,443 ",0.1210%," 1,046,842 "," 716,526 ",68.45%,2017
Fire Ins Exch - 21660," 60,758,477 ",6.5806%," 62,718,933 "," 26,035,715 ",41.51%,2017
Firemans Fund Ins Co - 21873," 792,035 ",0.0858%," 1,554,118 "," (373,302)",-24.02%,2017
First Amer Prop & Cas Ins Co - 37710," 111,321 ",0.0121%," 111,321 "," 51,303 ",46.09%,2017
First Amer Specilaty Ins Co - 34525," 24,815,299 ",2.6877%," 24,488,333 "," 16,152,864 ",65.96%,2017
First Natl Ins Co Of Amer - 24724," 23,513 ",0.0025%," 64,115 "," (6,102)",-9.52%,2017
Florists Mut Ins Co - 13978," 804,793 ",0.0872%," 801,139 "," 299,269 ",37.36%,2017
Foremost Ins Co Grand Rapids MI - 11185," 31,312,278 ",3.3913%," 28,839,796 "," 35,086,459 ",121.66%,2017
Freedom Specialty Ins Co - 22209," 9,493 ",0.0010%," 11,157 "," 1,293 ",11.59%,2017
Garrison Prop & Cas Ins Co - 21253," 1,883,839 ",0.2040%," 1,760,121 "," 1,505,044 ",85.51%,2017
General Cas Co Of WI - 24414," 134,979 ",0.0146%," 175,166 "," 942,306 ",537.95%,2017
General Ins Co Of Amer - 24732," 31,348 ",0.0034%," 65,839 "," 26,826 ",40.74%,2017
General Security Natl Ins Co - 39322," 33,337 ",0.0036%," 15,200 "," 89,994 ",592.07%,2017
Geovera Ins Co - 10799," 565,237 ",0.0612%," 576,604 "," 169,891 ",29.46%,2017
Geovera Specialty Ins Co - 10182, 212 ,0.0000%, 351 , 106 ,30.20%,2017
Golden Bear Ins Co - 39861," 1,336,287 ",0.1447%," 1,561,338 "," 250,231 ",16.03%,2017
Golden Eagle Ins Corp - 10836," 3,541 ",0.0004%," 13,115 ", (718),-5.47%,2017
Grange Ins Assn - 22101," 612,811 ",0.0664%," 623,663 "," 916,250 ",146.91%,2017
Granite State Ins Co - 23809," 657,389 ",0.0712%," 684,598 "," (39,034)",-5.70%,2017
Great Amer Alliance Ins Co - 26832," 3,154 ",0.0003%," 3,107 "," 36,963 ",1189.67%,2017
Great Amer Assur Co - 26344," 48,454 ",0.0052%," 47,353 "," 62,641 ",132.29%,2017
Great Amer Ins Co - 16691," 246,322 ",0.0267%," 190,419 "," 270,564 ",142.09%,2017
Great Amer Ins Co of NY - 22136," 1,160,460 ",0.1257%," 1,082,925 "," 552,095 ",50.98%,2017
Great Divide Ins Co - 25224," 4,649 ",0.0005%," 2,465 "," (1,792)",-72.70%,2017
Great Northern Ins Co - 20303," 74,882 ",0.0081%," 82,398 "," 17,762 ",21.56%,2017
Greenwich Ins Co - 22322," 984,952 ",0.1067%," 948,032 "," (281,433)",-29.69%,2017
Guideone Mut Ins Co - 15032," 41,196 ",0.0045%," 37,127 ", (163),-0.44%,2017
Guideone Specialty Mut Ins Co - 14559," 234,280 ",0.0254%," 269,675 "," 422,991 ",156.85%,2017
Hanover Amer Ins Co - 36064," 129,849 ",0.0141%," 116,244 "," (24,000)",-20.65%,2017
Hanover Ins Co - 22292," 227,160 ",0.0246%," 219,495 "," (69,768)",-31.79%,2017
Harco Natl Ins Co - 26433," 177,912 ",0.0193%," 172,371 "," (20,846)",-12.09%,2017
Harleysville Ins Co - 23582," 1,480 ",0.0002%, 500 , 171 ,34.20%,2017
Hartford Cas Ins Co - 29424," 148,625 ",0.0161%," 166,265 "," 88,001 ",52.93%,2017
Hartford Fire Ins Co - 19682," 3,666,370 ",0.3971%," 3,745,828 "," 1,730,809 ",46.21%,2017
Hartford Underwriters Ins Co - 30104," 1,316,025 ",0.1425%," 1,416,842 "," 338,108 ",23.86%,2017
HDI Global Ins Co - 41343," 8,912,863 ",0.9653%," 8,429,949 "," 509,064 ",6.04%,2017
Hiscox Ins Co Inc - 10200," 883,639 ",0.0957%," 612,234 "," 189,640 ",30.98%,2017
Horace Mann Ins Co - 22578," 595,413 ",0.0645%," 627,708 "," 973,470 ",155.08%,2017
Horace Mann Prop & Cas Ins Co - 22756," 127,412 ",0.0138%," 132,345 "," 123,665 ",93.44%,2017
Hudson Ins Co - 25054," 31,897 ",0.0035%," 31,994 ", (787),-2.46%,2017
Hyundai Marine & Fire Ins Co Ltd - 10048," 3,148 ",0.0003%," 2,535 ", -   ,0.00%,2017
Imperium Ins Co - 35408," 15,415 ",0.0017%," 15,586 ", -   ,0.00%,2017
Indemnity Ins Co Of North Amer - 43575," 38,722 ",0.0042%," 38,445 ", 709 ,1.84%,2017
Insurance Co of N Amer - 22713," 931,884 ",0.1009%," 876,565 "," 420,566 ",47.98%,2017
Insurance Co Of The State Of PA - 19429," 13,863,765 ",1.5015%," 14,210,241 "," 741,163 ",5.22%,2017
Integon Natl Ins Co - 29742," 2,008,115 ",0.2175%," 1,563,402 "," 1,217,615 ",77.88%,2017
Interins Exch Of The Automobile Club - 15598," 21,992,083 ",2.3819%," 22,133,412 "," 12,928,622 ",58.41%,2017
Kemper Independence Ins Co - 10914," 4,467,734 ",0.4839%," 4,494,779 "," 4,466,039 ",99.36%,2017
Kookmin Best Ins Co Ltd - 37800," 48,984 ",0.0053%," 136,118 "," (11,129)",-8.18%,2017
Liberty Mut Fire Ins Co - 23035," 20,049,810 ",2.1715%," 21,819,458 "," 15,568,395 ",71.35%,2017
Liberty Mut Ins Co - 23043," 4,842,802 ",0.5245%," 4,787,699 "," 2,131,404 ",44.52%,2017
Manufacturers Alliance Ins Co - 36897," 2,424 ",0.0003%, 732 ," 1,805 ",246.58%,2017
Mapfre Ins Co - 23876," 205,131 ",0.0222%," 269,503 "," 441,848 ",163.95%,2017
Markel Ins Co - 38970," 9,299 ",0.0010%," 7,870 ", 136 ,1.73%,2017
Massachusetts Bay Ins Co - 22306," 155,660 ",0.0169%," 160,177 "," (54,156)",-33.81%,2017
Mercury Cas Co - 11908," 14,745,650 ",1.5971%," 14,812,557 "," 7,783,632 ",52.55%,2017
Metropolitan Drt Prop & Cas Ins Co - 25321," 117,937 ",0.0128%," 110,987 "," 33,968 ",30.61%,2017
Mid Century Ins Co - 21687," 3,854 ",0.0004%," 4,228 ", (90),-2.13%,2017
Middlesex Ins Co - 23434," 2,386 ",0.0003%," 1,592 ", (188),-11.81%,2017
Mitsui Sumitomo Ins Co of Amer - 20362," 426,258 ",0.0462%," 375,220 "," 153,813 ",40.99%,2017
Mitsui Sumitomo Ins USA Inc - 22551," 43,906 ",0.0048%," 50,057 "," (3,737)",-7.47%,2017
Monterey Ins Co - 23540," 43,641 ",0.0047%," 46,153 "," 14,690 ",31.83%,2017
National Cas Co - 11991, 61 ,0.0000%, 78 , 75 ,96.15%,2017
National Fire Ins Co Of Hartford - 20478," 23,028 ",0.0025%," 12,879 "," 3,062 ",23.78%,2017
National Gen Premier Ins Co - 12832," 23,093 ",0.0025%," 25,175 "," 17,769 ",70.58%,2017
National Interstate Ins Co - 32620," 6,552 ",0.0007%," 5,174 ", -   ,0.00%,2017
National Union Fire Ins Co Of Pitts - 19445," 6,786,103 ",0.7350%," 6,447,789 "," 482,113 ",7.48%,2017
Nationwide Agribusiness Ins Co - 28223," 2,062,931 ",0.2234%," 2,021,712 "," 1,194,338 ",59.08%,2017
Nationwide Ins Co Of Amer - 25453," 3,637,080 ",0.3939%," 3,683,698 "," 2,281,747 ",61.94%,2017
Nationwide Mut Fire Ins Co - 23779," 239,003 ",0.0259%," 245,384 "," 396,722 ",161.67%,2017
Nationwide Mut Ins Co - 23787," 6,452,884 ",0.6989%," 6,468,742 "," 7,685,749 ",118.81%,2017
Neighborhood Spirit Prop & Cas Co - 10317," 8,416,972 ",0.9116%," 8,459,796 "," 1,183,921 ",13.99%,2017
Netherlands Ins Co The - 24171," 5,603 ",0.0006%," 5,657 ", (27),-0.48%,2017
New Hampshire Ins Co - 23841," 61,418 ",0.0067%," 54,917 "," 1,140 ",2.08%,2017
North Amer Elite Ins Co - 29700," 1,423,025 ",0.1541%," 589,488 "," 871,619 ",147.86%,2017
North Amer Specialty Ins Co - 29874," 27,906 ",0.0030%," 27,873 "," 4,987 ",17.89%,2017
North River Ins Co - 21105, 164 ,0.0000%, 164 , 5 ,3.05%,2017
Northland Ins Co - 24015," 10,619 ",0.0012%," 14,578 "," 10,861 ",74.50%,2017
Nova Cas Co - 42552," 3,724 ",0.0004%," 19,726 "," 98,241 ",498.03%,2017
Ohio Cas Ins Co - 24074," 817,409 ",0.0885%," 673,372 "," 1,336,099 ",198.42%,2017
Ohio Security Ins Co - 24082," 2,012,814 ",0.2180%," 1,900,132 "," 209,376 ",11.02%,2017
Oregon Mut Ins Co - 14907," 1,266,782 ",0.1372%," 1,250,122 "," 1,168,659 ",93.48%,2017
Pacific Employers Ins Co - 22748," 1,711,400 ",0.1854%," 1,544,866 "," 17,037,172 ",1102.83%,2017
Pacific Ind Co - 20346," 6,840 ",0.0007%," 6,564 "," 3,129 ",47.67%,2017
Pacific Prop & Cas Co - 11048," 176,889 ",0.0192%," 144,854 "," 73,146 ",50.50%,2017
Peerless Ind Ins Co - 18333," 13,335 ",0.0014%," 86,758 "," (21,065)",-24.28%,2017
Peerless Ins Co - 24198," 4,458,652 ",0.4829%," 4,988,114 "," 3,896,826 ",78.12%,2017
Penn Amer Ins Co - 32859," 9,505 ",0.0010%," 12,505 "," (1,284)",-10.27%,2017
Pennsylvania Lumbermens Mut Ins - 14974," 1,509,054 ",0.1634%," 1,589,368 "," 2,087,959 ",131.37%,2017
Philadelphia Ind Ins Co - 18058," 17,103 ",0.0019%," 23,090 ", (37),-0.16%,2017
QBE Ins Corp - 39217," 813,197 ",0.0881%," 974,592 "," 2,737,575 ",280.89%,2017
Regent Ins Co - 24449," 4,362 ",0.0005%," 3,428 ", (639),-18.64%,2017
Residence Mut Ins Co - 15776," 2,150,892 ",0.2330%," 2,243,080 "," 1,017,220 ",45.35%,2017
Riverport Ins Co - 36684," 7,812 ",0.0008%," 52,563 "," (89,990)",-171.20%,2017
RSUI Ind Co - 22314," 1,242,474 ",0.1346%," 1,224,084 "," 414,909 ",33.90%,2017
Safeco Ins Co Of Amer - 24740," 58,331,788 ",6.3178%," 60,608,164 "," 77,213,007 ",127.40%,2017
Scottsdale Ind Co - 15580," 78,536 ",0.0085%," 67,512 "," 9,822 ",14.55%,2017
Security Natl Ins Co - 19879," 225,864 ",0.0245%," 448,629 "," 101,737 ",22.68%,2017
Seneca Ins Co Inc - 10936," 604,840 ",0.0655%," 1,004,286 "," 98,577 ",9.82%,2017
Sentry Ins A Mut Co - 24988," 2,459,689 ",0.2664%," 2,686,729 "," 108,333 ",4.03%,2017
Sentry Select Ins Co - 21180," 1,213,065 ",0.1314%," 1,362,992 "," 6,296,011 ",461.93%,2017
Sequoia Ins Co - 22985," 121,802 ",0.0132%," 141,455 "," 49,123 ",34.73%,2017
Sirius Amer Ins Co - 38776," 12,872 ",0.0014%," 25,660 "," 2,823 ",11.00%,2017
Sompo Japan Ins Co of Amer - 11126," 811,378 ",0.0879%," 1,090,179 "," (102,367)",-9.39%,2017
St Paul Fire & Marine Ins Co - 24767," 255,157 ",0.0276%," 437,991 "," 322,030 ",73.52%,2017
St Paul Guardian Ins Co - 24775, 640 ,0.0001%, 323 , (762),-235.91%,2017
St Paul Mercury Ins Co - 24791," 1,189 ",0.0001%," (2,101)"," (13,342)",635.03%,2017
Standard Fire Ins Co - 19070," 2,333,835 ",0.2528%," 2,325,425 "," 754,089 ",32.43%,2017
Standard Guar Ins Co - 42986," 89,066 ",0.0096%," 91,833 ", (927),-1.01%,2017
Star Ins Co - 18023," 4,047 ",0.0004%," 3,495 ", 17 ,0.49%,2017
Starnet Ins Co - 40045," 117,373 ",0.0127%," 116,842 "," 14,205 ",12.16%,2017
Starr Ind & Liab Co - 38318," 24,073 ",0.0026%," 36,313 "," 9,200 ",25.34%,2017
State Farm Gen Ins Co - 25151," 9,508,039 ",1.0298%," 9,480,394 "," 2,774,483 ",29.27%,2017
Stillwater Ins Co - 25180," 3,870,043 ",0.4192%," 3,734,493 "," 4,445,015 ",119.03%,2017
Sutter Ins Co - 32107," 173,420 ",0.0188%," 179,903 "," 100,393 ",55.80%,2017
Technology Ins Co Inc - 42376," 17,632 ",0.0019%," 27,298 ", 953 ,3.49%,2017
The Cincinnati Cas Co - 28665, 84 ,0.0000%, 46 , -   ,0.00%,2017
The Cincinnati Ind Co - 23280," 2,301 ",0.0002%," 2,138 ", -   ,0.00%,2017
The Cincinnati Ins Co - 10677," 52,075 ",0.0056%," 50,006 "," (2,298)",-4.60%,2017
Tokio Marine Amer Ins Co - 10945," 6,801,487 ",0.7367%," 6,607,370 "," 4,348,894 ",65.82%,2017
Topa Ins Co - 18031," 1,655,771 ",0.1793%," 1,418,968 "," 776,617 ",54.73%,2017
Transguard Ins Co Of Amer Inc - 28886," 64,592 ",0.0070%," 59,734 "," 122,936 ",205.81%,2017
Transportation Ins Co - 20494," 15,766 ",0.0017%," 18,474 "," (4,730)",-25.60%,2017
Travelers Cas & Surety Co - 19038," 1,542,324 ",0.1670%," 1,537,806 "," 453,564 ",29.49%,2017
Travelers Ind Co - 25658, 223 ,0.0000%, 223 , -   ,0.00%,2017
Travelers Ind Co Of CT - 25682," 608,471 ",0.0659%," 688,802 "," 323,446 ",46.96%,2017
Travelers Prop Cas Co Of Amer - 25674," 39,599,580 ",4.2889%," 40,105,580 "," 66,667,801 ",166.23%,2017
Travelers Prop Cas Ins Co - 36161," 13,102,352 ",1.4191%," 12,593,109 "," 12,157,024 ",96.54%,2017
Truck Ins Exch - 21709," 566,097 ",0.0613%," 501,253 "," 211,112 ",42.12%,2017
UFG Specialty Ins Co - 19526," 36,069 ",0.0039%," 35,117 "," 1,094 ",3.12%,2017
Unigard Ins Co - 25747," 2,444,739 ",0.2648%," 2,577,638 "," 44,785,396 ",1737.46%,2017
United Cas Ins Co Of Amer - 11142," 580,253 ",0.0628%," 580,864 "," 35,230 ",6.07%,2017
United Fire & Cas Co - 13021," 2,757,652 ",0.2987%," 2,364,989 "," 14,933,531 ",631.44%,2017
United Serv Automobile Assn - 25941," 13,232,699 ",1.4332%," 13,159,252 "," 16,151,678 ",122.74%,2017
United States Fire Ins Co - 21113," 334,654 ",0.0362%," 630,179 "," 33,970 ",5.39%,2017
United States Liab Ins Co - 25895," 7,036,609 ",0.7621%," 6,677,984 "," 2,123,369 ",31.80%,2017
Universal N Amer Ins Co - 10759," 14,445,583 ",1.5646%," 14,699,501 "," 8,842,885 ",60.16%,2017
Universal Underwriters Ins Co - 41181," 18,767 ",0.0020%," 150,136 "," 172,712 ",115.04%,2017
USAA Cas Ins Co - 25968," 8,884,583 ",0.9623%," 8,687,001 "," 10,541,081 ",121.34%,2017
USAA Gen Ind Co - 18600," 1,860,612 ",0.2015%," 1,757,092 "," 643,124 ",36.60%,2017
Utica Mut Ins Co - 25976, 715 ,0.0001%, 630 , (25),-3.97%,2017
Valley Forge Ins Co - 20508," 44,102 ",0.0048%," 48,274 "," (1,581)",-3.28%,2017
Vanliner Ins Co - 21172," 3,483 ",0.0004%," 2,174 ", -   ,0.00%,2017
Verlan Fire Ins Co MD - 10815," 3,673,886 ",0.3979%," 3,591,515 "," (814,257)",-22.67%,2017
Vigilant Ins Co - 20397," 62,349 ",0.0068%," 60,523 "," 29,741 ",49.14%,2017
Wawanesa Gen Ins Co - 10683," 124,215 ",0.0135%," 120,897 "," 39,399 ",32.59%,2017
Wesco Ins Co - 25011," 29,579 ",0.0032%," 384,341 "," 423,752 ",110.25%,2017
West Amer Ins Co - 44393," 1,793,013 ",0.1942%," 1,607,450 "," 1,008,725 ",62.75%,2017
Westchester Fire Ins Co - 10030," 5,640,141 ",0.6109%," 5,651,065 "," 1,491,291 ",26.39%,2017
Western Mut Ins Co - 13625," 68,989 ",0.0075%," 70,411 "," 36,306 ",51.56%,2017
Westport Ins Corp - 39845," 6,122,342 ",0.6631%," 8,460,188 "," 7,592,422 ",89.74%,2017
XL Ins Amer Inc - 24554," 10,564,756 ",1.1442%," 10,678,554 "," 3,738,443 ",35.01%,2017
Zenith Ins Co - 13269," 5,996,930 ",0.6495%," 5,650,943 "," 5,283,690 ",93.50%,2017
Zurich Amer Ins Co - 16535," 32,706,110 ",3.5423%," 32,779,431 "," 22,502,873 ",68.65%,2017
Zurich Amer Ins Co Of IL - 27855," 15,801 ",0.0017%," 16,630 "," (3,524)",-21.19%,2017
Merced Prop & Cas Co - 15768," 433,707 ",0.0470%," 433,861 "," 127,441 ",29.37%,2017
Employers Ins  of Wausau - 21458," 2,022,912 ",0.2191%," 1,135,644 "," 2,572,475 ",226.52%,2017
Fire Ins Exch - 21660," 65,325,944 ",6.8884%," 69,709,151 "," 34,294,233 ",49.20%,2016
American Security Ins Co - 42978," 60,627,104 ",6.3930%," 59,199,843 "," 13,555,794 ",22.90%,2016
Safeco Ins Co Of Amer - 24740," 59,791,723 ",6.3049%," 59,288,327 "," 25,658,415 ",43.28%,2016
CSAA Fire & Cas Ins Co - 10921," 53,578,611 ",5.6497%," 53,394,102 "," 24,577,689 ",46.03%,2016
Amco Ins Co - 19100," 41,276,831 ",4.3525%," 40,990,683 "," 10,505,145 ",25.63%,2016
Travelers Prop Cas Co Of Amer - 25674," 39,724,428 ",4.1888%," 39,587,137 "," 27,736,710 ",70.06%,2016
American Home Assur Co - 19380," 34,047,306 ",3.5902%," 13,404,564 "," 7,402,176 ",55.22%,2016
Zurich Amer Ins Co - 16535," 30,836,126 ",3.2516%," 33,038,530 "," (6,201,678)",-18.77%,2016
Affiliated Fm Ins Co - 10014," 29,852,315 ",3.1478%," 29,920,718 "," 10,613,306 ",35.47%,2016
Foremost Ins Co Grand Rapids MI - 11185," 28,173,092 ",2.9708%," 26,443,099 "," 13,650,620 ",51.62%,2016
First Amer Specilaty Ins Co - 34525," 24,275,101 ",2.5597%," 24,303,272 "," 11,692,948 ",48.11%,2016
Liberty Mut Fire Ins Co - 23035," 22,830,258 ",2.4074%," 24,336,527 "," 4,101,195 ",16.85%,2016
Factory Mut Ins Co - 21482," 21,824,997 ",2.3014%," 23,107,505 "," 10,563,727 ",45.72%,2016
Interins Exch Of The Automobile Club - 15598," 21,734,159 ",2.2918%," 21,261,434 "," 9,235,406 ",43.44%,2016
CSE Safeguard Ins Co - 18953," 20,048,060 ",2.1140%," 14,474,496 "," 3,917,334 ",27.06%,2016
American Modern Home Ins Co - 23469," 18,573,591 ",1.9585%," 21,598,690 "," 6,209,199 ",28.75%,2016
Allianz Global Risks US Ins Co - 35300," 15,955,279 ",1.6824%," 15,630,728 "," (1,157,368)",-7.40%,2016
Universal N Amer Ins Co - 10759," 15,270,122 ",1.6102%," 15,458,092 "," 6,943,946 ",44.92%,2016
Mercury Cas Co - 11908," 14,993,791 ",1.5811%," 14,929,579 "," 5,518,524 ",36.96%,2016
California Capital Ins Co - 13544," 14,543,072 ",1.5335%," 14,586,586 "," 2,529,711 ",17.34%,2016
Insurance Co Of The State Of PA - 19429," 14,111,615 ",1.4880%," 13,795,003 "," (1,691,198)",-12.26%,2016
United Serv Automobile Assn - 25941," 12,550,509 ",1.3234%," 12,686,193 "," 4,586,096 ",36.15%,2016
Allied Prop & Cas Ins Co - 42579," 12,407,829 ",1.3084%," 12,330,821 "," 5,105,948 ",41.41%,2016
Travelers Prop Cas Ins Co - 36161," 12,209,457 ",1.2875%," 11,982,234 "," 4,748,487 ",39.63%,2016
XL Ins Amer Inc - 24554," 11,674,367 ",1.2310%," 13,481,300 "," (4,503,280)",-33.40%,2016
Farmers Ins Exch - 21652," 10,985,773 ",1.1584%," 11,522,110 "," 5,965,125 ",51.77%,2016
Westport Ins Corp - 39845," 10,982,239 ",1.1580%," 8,852,031 "," 2,302,058 ",26.01%,2016
American Guar & Liab Ins - 26247," 10,717,115 ",1.1301%," 10,265,912 "," 5,335,089 ",51.97%,2016
State Farm Gen Ins Co - 25151," 9,209,194 ",0.9711%," 9,112,556 "," 4,256,232 ",46.71%,2016
Neighborhood Spirit Prop & Cas Co - 10317," 8,513,774 ",0.8978%," 8,533,201 "," 2,784,254 ",32.63%,2016
USAA Cas Ins Co - 25968," 8,509,704 ",0.8973%," 8,478,360 "," 1,667,539 ",19.67%,2016
HDI Global Ins Co - 41343," 7,055,970 ",0.7440%," 6,799,891 "," 1,606,849 ",23.63%,2016
Fidelity & Deposit Co Of MD  - 39306," 6,755,670 ",0.7124%," 6,413,476 "," 3,878,789 ",60.48%,2016
United States Liab Ins Co - 25895," 6,439,241 ",0.6790%," 6,182,895 "," 3,561,019 ",57.59%,2016
Nationwide Mut Ins Co - 23787," 6,300,150 ",0.6643%," 6,383,034 "," 15,211,801 ",238.32%,2016
Tokio Marine Amer Ins Co - 10945," 6,255,841 ",0.6597%," 5,963,505 "," 496,399 ",8.32%,2016
Continental Cas Co - 20443," 6,159,053 ",0.6495%," 5,607,134 "," 3,868,478 ",68.99%,2016
Century Natl Ins Co - 26905," 6,033,827 ",0.6363%," 6,215,753 "," 389,879 ",6.27%,2016
National Union Fire Ins Co Of Pitts - 19445," 5,580,782 ",0.5885%," 6,340,811 "," 10,201,985 ",160.89%,2016
Peerless Ins Co - 24198," 5,554,377 ",0.5857%," 5,820,281 "," 2,926,517 ",50.28%,2016
Zenith Ins Co - 13269," 5,494,956 ",0.5794%," 5,171,805 "," 384,711 ",7.44%,2016
Encompass Ins Co - 10358," 5,316,141 ",0.5606%," 5,211,108 "," 2,830,346 ",54.31%,2016
Westchester Fire Ins Co - 10030," 5,150,562 ",0.5431%," 5,148,824 "," 9,290,905 ",180.45%,2016
Axis Ins Co - 37273," 5,068,407 ",0.5344%," 6,183,575 "," 1,891,311 ",30.59%,2016
Liberty Mut Ins Co - 23043," 4,628,815 ",0.4881%," 4,292,653 "," 2,124,042 ",49.48%,2016
Kemper Independence Ins Co - 10914," 4,503,993 ",0.4749%," 4,398,259 "," 679,357 ",15.45%,2016
Civil Serv Employees Ins Co - 10693," 4,406,498 ",0.4647%," 4,507,136 "," 331,021 ",7.34%,2016
Hartford Fire Ins Co - 19682," 3,892,911 ",0.4105%," 4,012,519 "," 1,397,633 ",34.83%,2016
Nationwide Ins Co Of Amer - 25453," 3,688,670 ",0.3890%," 3,498,320 "," 2,871,774 ",82.09%,2016
Verlan Fire Ins Co MD - 10815," 3,624,051 ",0.3821%," 3,579,676 "," 13,725,096 ",383.42%,2016
Stillwater Ins Co - 25180," 3,614,782 ",0.3812%," 3,408,066 "," 1,701,267 ",49.92%,2016
Federated Mut Ins Co - 13935," 3,540,058 ",0.3733%," 3,433,770 "," 742,475 ",21.62%,2016
AXA Ins Co - 33022," 2,924,102 ",0.3083%," 2,969,708 "," (135,409)",-4.56%,2016
Unigard Ins Co - 25747," 2,714,953 ",0.2863%," 2,973,015 "," 139,863 ",4.70%,2016
Sentry Ins A Mut Co - 24988," 2,708,038 ",0.2856%," 2,710,749 "," 514,234 ",18.97%,2016
CSAA Ins Exch - 15539," 2,619,661 ",0.2762%," 2,479,825 "," 937,312 ",37.80%,2016
Standard Fire Ins Co - 19070," 2,366,184 ",0.2495%," 2,335,012 "," 1,164,651 ",49.88%,2016
Residence Mut Ins Co - 15776," 2,311,396 ",0.2437%," 2,384,276 "," 436,488 ",18.31%,2016
Civic Prop & Cas Co  - 10315," 2,170,213 ",0.2288%," 2,124,321 "," 1,038,915 ",48.91%,2016
United Fire & Cas Co - 13021," 2,012,361 ",0.2122%," 2,373,169 "," 80,806 ",3.40%,2016
Nationwide Agribusiness Ins Co - 28223," 1,877,356 ",0.1980%," 1,884,123 "," 7,996,000 ",424.39%,2016
Integon Natl Ins Co - 29742," 1,845,063 ",0.1946%," 1,699,988 "," 790,536 ",46.50%,2016
Pennsylvania Lumbermens Mut Ins - 14974," 1,801,219 ",0.1899%," 1,557,618 "," 32,652 ",2.10%,2016
Ohio Security Ins Co - 24082," 1,788,662 ",0.1886%," 1,723,087 "," 765,134 ",44.40%,2016
Exact Prop & Cas Co Inc - 10318," 1,778,764 ",0.1876%," 1,813,148 "," 160,330 ",8.84%,2016
Aspen Amer Ins Co - 43460," 1,765,070 ",0.1861%," 1,594,192 "," 1,269,146 ",79.61%,2016
Golden Bear Ins Co - 39861," 1,707,885 ",0.1801%," 1,641,789 "," 797,100 ",48.55%,2016
Garrison Prop & Cas Ins Co - 21253," 1,652,676 ",0.1743%," 1,564,036 "," 210,282 ",13.44%,2016
USAA Gen Ind Co - 18600," 1,647,295 ",0.1737%," 1,525,653 "," 521,547 ",34.19%,2016
Travelers Cas & Surety Co - 19038," 1,565,661 ",0.1651%," 1,526,259 "," 705,434 ",46.22%,2016
Seneca Ins Co Inc - 10936," 1,541,421 ",0.1625%," 1,112,950 "," 161,835 ",14.54%,2016
Hartford Underwriters Ins Co - 30104," 1,531,704 ",0.1615%," 1,602,233 "," 33,344 ",2.08%,2016
Sompo Japan Ins Co of Amer - 11126," 1,443,716 ",0.1522%," 1,602,977 "," (1,098,490)",-68.53%,2016
West Amer Ins Co - 44393," 1,435,661 ",0.1514%," 1,334,746 "," 4,768,552 ",357.26%,2016
Pacific Employers Ins Co - 22748," 1,380,121 ",0.1455%," 1,198,634 "," 2,588,828 ",215.98%,2016
Sentry Select Ins Co - 21180," 1,349,099 ",0.1423%," 1,311,371 "," (13,189)",-1.01%,2016
Dorinco Reins Co - 33499," 1,348,380 ",0.1422%," 1,384,274 ", -   ,0.00%,2016
Employers Mut Cas Co - 21415," 1,288,619 ",0.1359%," 1,221,754 "," 207,500 ",16.98%,2016
American Reliable Ins Co - 19615," 1,276,253 ",0.1346%," 1,352,864 "," 537,472 ",39.73%,2016
Federal Ins Co - 20281," 1,268,077 ",0.1337%," 1,231,866 "," 574,451 ",46.63%,2016
Topa Ins Co - 18031," 1,254,125 ",0.1322%," 1,005,441 "," 227,667 ",22.64%,2016
Oregon Mut Ins Co - 14907," 1,236,917 ",0.1304%," 1,275,901 "," 1,154,738 ",90.50%,2016
RSUI Ind Co - 22314," 1,136,079 ",0.1198%," 1,323,546 "," (61,404)",-4.64%,2016
Wesco Ins Co - 25011," 1,117,828 ",0.1179%," 1,282,045 "," (100,267)",-7.82%,2016
Firemans Fund Ins Co - 21873," 1,056,638 ",0.1114%," 1,381,498 "," 764,178 ",55.32%,2016
Security Natl Ins Co - 19879," 1,016,088 ",0.1071%," 1,016,905 "," 194,840 ",19.16%,2016
