Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
1995,Annual,Glenn County,Not Adj,Not Prelim,11460,9680,1780,0.155
1994,Annual,Glenn County,Not Adj,Not Prelim,11510,9660,1850,0.160
1993,Annual,Glenn County,Not Adj,Not Prelim,11360,9390,1960,0.173
1992,Annual,Glenn County,Not Adj,Not Prelim,11400,9250,2150,0.189
1991,Annual,Glenn County,Not Adj,Not Prelim,11080,9340,1730,0.157
1990,Annual,Glenn County,Not Adj,Not Prelim,11250,9850,1400,0.125
2019,Annual,Humboldt County,Not Adj,Prelim,62500,60300,2300,0.036
2018,Annual,Humboldt County,Not Adj,Not Prelim,62600,60300,2300,0.036
2017,Annual,Humboldt County,Not Adj,Not Prelim,62600,59900,2600,0.042
2016,Annual,Humboldt County,Not Adj,Not Prelim,62400,59300,3100,0.049
2015,Annual,Humboldt County,Not Adj,Not Prelim,62300,58800,3500,0.056
2014,Annual,Humboldt County,Not Adj,Not Prelim,62400,58200,4100,0.067
2013,Annual,Humboldt County,Not Adj,Not Prelim,63100,57900,5100,0.081
2012,Annual,Humboldt County,Not Adj,Not Prelim,64300,58100,6200,0.096
2011,Annual,Humboldt County,Not Adj,Not Prelim,65100,58200,6900,0.106
2010,Annual,Humboldt County,Not Adj,Not Prelim,66100,59100,7000,0.106
2009,Annual,Humboldt County,Not Adj,Not Prelim,60840,54330,6500,0.107
2008,Annual,Humboldt County,Not Adj,Not Prelim,59950,55580,4370,0.073
2007,Annual,Humboldt County,Not Adj,Not Prelim,59280,55770,3510,0.059
2006,Annual,Humboldt County,Not Adj,Not Prelim,59400,56120,3280,0.055
2005,Annual,Humboldt County,Not Adj,Not Prelim,59520,55890,3630,0.061
2004,Annual,Humboldt County,Not Adj,Not Prelim,60400,56490,3910,0.065
2003,Annual,Humboldt County,Not Adj,Not Prelim,60580,56460,4120,0.068
2002,Annual,Humboldt County,Not Adj,Not Prelim,60750,56700,4050,0.067
2001,Annual,Humboldt County,Not Adj,Not Prelim,60390,56770,3620,0.060
2000,Annual,Humboldt County,Not Adj,Not Prelim,60170,56680,3490,0.058
1999,Annual,Humboldt County,Not Adj,Not Prelim,59770,55900,3870,0.065
1998,Annual,Humboldt County,Not Adj,Not Prelim,60630,56240,4390,0.072
1997,Annual,Humboldt County,Not Adj,Not Prelim,60330,55900,4430,0.073
1996,Annual,Humboldt County,Not Adj,Not Prelim,60020,55420,4600,0.077
1995,Annual,Humboldt County,Not Adj,Not Prelim,59700,54740,4960,0.083
1994,Annual,Humboldt County,Not Adj,Not Prelim,59860,54700,5150,0.086
1993,Annual,Humboldt County,Not Adj,Not Prelim,59620,53730,5880,0.099
1992,Annual,Humboldt County,Not Adj,Not Prelim,58930,53070,5860,0.099
1991,Annual,Humboldt County,Not Adj,Not Prelim,56680,51730,4950,0.087
1990,Annual,Humboldt County,Not Adj,Not Prelim,56260,51810,4460,0.079
2019,Annual,Imperial County,Not Adj,Prelim,71300,58300,13000,0.182
2018,Annual,Imperial County,Not Adj,Not Prelim,71200,57800,13400,0.189
2017,Annual,Imperial County,Not Adj,Not Prelim,72100,58000,14100,0.195
2016,Annual,Imperial County,Not Adj,Not Prelim,75100,57000,18100,0.241
2015,Annual,Imperial County,Not Adj,Not Prelim,76700,57900,18800,0.245
2014,Annual,Imperial County,Not Adj,Not Prelim,78300,59500,18800,0.240
2013,Annual,Imperial County,Not Adj,Not Prelim,78300,58700,19600,0.250
2012,Annual,Imperial County,Not Adj,Not Prelim,79300,57600,21700,0.274
2011,Annual,Imperial County,Not Adj,Not Prelim,79500,56500,22900,0.289
2010,Annual,Imperial County,Not Adj,Not Prelim,78700,56000,22700,0.288
2009,Annual,Imperial County,Not Adj,Not Prelim,75600,54900,20700,0.274
2008,Annual,Imperial County,Not Adj,Not Prelim,72400,56100,16300,0.226
2007,Annual,Imperial County,Not Adj,Not Prelim,66000,54100,11900,0.181
2006,Annual,Imperial County,Not Adj,Not Prelim,63000,53300,9700,0.154
2005,Annual,Imperial County,Not Adj,Not Prelim,60600,50900,9700,0.160
2004,Annual,Imperial County,Not Adj,Not Prelim,59400,49300,10100,0.170
2003,Annual,Imperial County,Not Adj,Not Prelim,58600,49600,9100,0.155
2002,Annual,Imperial County,Not Adj,Not Prelim,57200,48700,8500,0.149
2001,Annual,Imperial County,Not Adj,Not Prelim,55500,46700,8800,0.159
2000,Annual,Imperial County,Not Adj,Not Prelim,56100,46300,9800,0.175
1999,Annual,Imperial County,Not Adj,Not Prelim,55200,42100,13000,0.236
1998,Annual,Imperial County,Not Adj,Not Prelim,55900,41300,14500,0.260
1997,Annual,Imperial County,Not Adj,Not Prelim,56100,41100,15100,0.268
1996,Annual,Imperial County,Not Adj,Not Prelim,57400,40300,17100,0.298
1995,Annual,Imperial County,Not Adj,Not Prelim,57900,41000,16900,0.292
1994,Annual,Imperial County,Not Adj,Not Prelim,57500,42400,15100,0.263
1993,Annual,Imperial County,Not Adj,Not Prelim,55300,39100,16200,0.293
1992,Annual,Imperial County,Not Adj,Not Prelim,53900,37300,16500,0.307
1991,Annual,Imperial County,Not Adj,Not Prelim,48800,36200,12700,0.259
1990,Annual,Imperial County,Not Adj,Not Prelim,47300,35300,12100,0.255
2019,Annual,Inyo County,Not Adj,Prelim,8760,8450,310,0.035
2018,Annual,Inyo County,Not Adj,Not Prelim,8710,8370,340,0.039
2017,Annual,Inyo County,Not Adj,Not Prelim,8620,8240,380,0.044
2016,Annual,Inyo County,Not Adj,Not Prelim,8860,8390,470,0.053
2015,Annual,Inyo County,Not Adj,Not Prelim,9080,8550,530,0.058
2014,Annual,Inyo County,Not Adj,Not Prelim,9210,8580,630,0.068
2013,Annual,Inyo County,Not Adj,Not Prelim,9390,8650,740,0.078
2012,Annual,Inyo County,Not Adj,Not Prelim,9560,8690,870,0.091
2011,Annual,Inyo County,Not Adj,Not Prelim,9680,8740,940,0.097
2010,Annual,Inyo County,Not Adj,Not Prelim,9750,8810,950,0.097
2009,Annual,Inyo County,Not Adj,Not Prelim,9390,8550,840,0.090
2008,Annual,Inyo County,Not Adj,Not Prelim,9090,8490,600,0.066
2007,Annual,Inyo County,Not Adj,Not Prelim,8890,8450,440,0.049
2006,Annual,Inyo County,Not Adj,Not Prelim,9010,8600,410,0.046
2005,Annual,Inyo County,Not Adj,Not Prelim,9280,8830,450,0.049
2004,Annual,Inyo County,Not Adj,Not Prelim,9250,8760,490,0.053
2003,Annual,Inyo County,Not Adj,Not Prelim,9100,8580,520,0.057
2002,Annual,Inyo County,Not Adj,Not Prelim,9200,8710,490,0.054
2001,Annual,Inyo County,Not Adj,Not Prelim,9030,8620,410,0.045
2000,Annual,Inyo County,Not Adj,Not Prelim,8860,8450,410,0.047
1999,Annual,Inyo County,Not Adj,Not Prelim,7130,6720,410,0.057
1998,Annual,Inyo County,Not Adj,Not Prelim,7260,6730,530,0.073
1997,Annual,Inyo County,Not Adj,Not Prelim,7280,6690,600,0.082
1996,Annual,Inyo County,Not Adj,Not Prelim,7260,6640,620,0.086
1995,Annual,Inyo County,Not Adj,Not Prelim,7090,6430,660,0.094
1994,Annual,Inyo County,Not Adj,Not Prelim,7180,6420,750,0.105
1993,Annual,Inyo County,Not Adj,Not Prelim,7110,6320,790,0.111
1992,Annual,Inyo County,Not Adj,Not Prelim,7170,6350,820,0.115
1991,Annual,Inyo County,Not Adj,Not Prelim,7170,6470,690,0.097
1990,Annual,Inyo County,Not Adj,Not Prelim,7010,6510,500,0.071
2019,Annual,Kern County,Not Adj,Prelim,391000,360800,30200,0.077
2018,Annual,Kern County,Not Adj,Not Prelim,386200,354900,31300,0.081
2017,Annual,Kern County,Not Adj,Not Prelim,384400,349000,35400,0.092
2016,Annual,Kern County,Not Adj,Not Prelim,388000,347700,40300,0.104
2015,Annual,Kern County,Not Adj,Not Prelim,390000,350100,39800,0.102
2014,Annual,Kern County,Not Adj,Not Prelim,392500,351700,40800,0.104
2013,Annual,Kern County,Not Adj,Not Prelim,393400,347200,46200,0.117
2012,Annual,Kern County,Not Adj,Not Prelim,391900,340400,51500,0.131
2011,Annual,Kern County,Not Adj,Not Prelim,382400,325700,56700,0.148
2010,Annual,Kern County,Not Adj,Not Prelim,371500,313400,58200,0.157
2009,Annual,Kern County,Not Adj,Not Prelim,362700,311700,51000,0.141
2008,Annual,Kern County,Not Adj,Not Prelim,359100,323800,35300,0.098
2007,Annual,Kern County,Not Adj,Not Prelim,345200,317000,28200,0.082
2006,Annual,Kern County,Not Adj,Not Prelim,336100,310700,25400,0.075
2005,Annual,Kern County,Not Adj,Not Prelim,326700,299400,27300,0.084
2004,Annual,Kern County,Not Adj,Not Prelim,314400,283400,31000,0.099
2003,Annual,Kern County,Not Adj,Not Prelim,311300,279400,31900,0.103
2002,Annual,Kern County,Not Adj,Not Prelim,305300,275600,29700,0.097
2001,Annual,Kern County,Not Adj,Not Prelim,297700,272200,25500,0.086
2000,Annual,Kern County,Not Adj,Not Prelim,293900,269600,24300,0.083
1999,Annual,Kern County,Not Adj,Not Prelim,278600,246700,31900,0.114
1998,Annual,Kern County,Not Adj,Not Prelim,278500,244700,33800,0.121
1997,Annual,Kern County,Not Adj,Not Prelim,278100,243600,34500,0.124
1996,Annual,Kern County,Not Adj,Not Prelim,277300,241500,35800,0.129
1995,Annual,Kern County,Not Adj,Not Prelim,270700,233400,37300,0.138
1994,Annual,Kern County,Not Adj,Not Prelim,265400,225500,40000,0.151
1993,Annual,Kern County,Not Adj,Not Prelim,273400,230400,43000,0.157
1992,Annual,Kern County,Not Adj,Not Prelim,272900,230200,42700,0.156
1991,Annual,Kern County,Not Adj,Not Prelim,264600,232500,32100,0.121
1990,Annual,Kern County,Not Adj,Not Prelim,256800,228800,28000,0.109
2019,Annual,Kings County,Not Adj,Prelim,57800,53200,4600,0.079
2018,Annual,Kings County,Not Adj,Not Prelim,57600,53000,4500,0.079
2017,Annual,Kings County,Not Adj,Not Prelim,57300,52200,5100,0.089
2016,Annual,Kings County,Not Adj,Not Prelim,57100,51400,5700,0.100
2015,Annual,Kings County,Not Adj,Not Prelim,57700,51600,6100,0.105
2014,Annual,Kings County,Not Adj,Not Prelim,57400,50600,6800,0.119
2013,Annual,Kings County,Not Adj,Not Prelim,58200,50400,7800,0.134
2012,Annual,Kings County,Not Adj,Not Prelim,58800,50000,8800,0.149
2011,Annual,Kings County,Not Adj,Not Prelim,59100,49700,9400,0.159
2010,Annual,Kings County,Not Adj,Not Prelim,59400,49900,9600,0.161
2009,Annual,Kings County,Not Adj,Not Prelim,60500,51900,8600,0.142
2008,Annual,Kings County,Not Adj,Not Prelim,58700,52500,6200,0.106
2007,Annual,Kings County,Not Adj,Not Prelim,57300,52400,5000,0.087
2006,Annual,Kings County,Not Adj,Not Prelim,55000,50400,4600,0.084
2005,Annual,Kings County,Not Adj,Not Prelim,53800,48800,5100,0.094
2004,Annual,Kings County,Not Adj,Not Prelim,53200,47300,5800,0.110
2003,Annual,Kings County,Not Adj,Not Prelim,53100,46800,6300,0.119
2002,Annual,Kings County,Not Adj,Not Prelim,51700,45700,6000,0.116
2001,Annual,Kings County,Not Adj,Not Prelim,50200,44800,5400,0.107
2000,Annual,Kings County,Not Adj,Not Prelim,49300,44300,4900,0.100
1999,Annual,Kings County,Not Adj,Not Prelim,42800,37200,5600,0.132
1998,Annual,Kings County,Not Adj,Not Prelim,43200,37200,6000,0.139
1997,Annual,Kings County,Not Adj,Not Prelim,43600,37800,5800,0.132
1996,Annual,Kings County,Not Adj,Not Prelim,42900,37300,5700,0.132
1995,Annual,Kings County,Not Adj,Not Prelim,41800,35700,6100,0.145
1994,Annual,Kings County,Not Adj,Not Prelim,40900,35100,5800,0.142
1993,Annual,Kings County,Not Adj,Not Prelim,40900,34700,6200,0.152
1992,Annual,Kings County,Not Adj,Not Prelim,40600,34400,6200,0.152
1991,Annual,Kings County,Not Adj,Not Prelim,38600,33700,4900,0.126
1990,Annual,Kings County,Not Adj,Not Prelim,37600,33400,4200,0.112
2019,Annual,Lake County,Not Adj,Prelim,29160,27690,1470,0.050
2018,Annual,Lake County,Not Adj,Not Prelim,29110,27560,1550,0.053
2017,Annual,Lake County,Not Adj,Not Prelim,29340,27640,1690,0.058
2016,Annual,Lake County,Not Adj,Not Prelim,29060,27110,1950,0.067
2015,Annual,Lake County,Not Adj,Not Prelim,29000,26800,2200,0.076
2014,Annual,Lake County,Not Adj,Not Prelim,29280,26670,2620,0.089
2013,Annual,Lake County,Not Adj,Not Prelim,29260,26070,3190,0.109
2012,Annual,Lake County,Not Adj,Not Prelim,29510,25740,3770,0.128
2011,Annual,Lake County,Not Adj,Not Prelim,29610,25310,4300,0.145
2010,Annual,Lake County,Not Adj,Not Prelim,29850,25340,4500,0.151
2009,Annual,Lake County,Not Adj,Not Prelim,25370,21570,3810,0.150
2008,Annual,Lake County,Not Adj,Not Prelim,24530,21910,2620,0.107
2007,Annual,Lake County,Not Adj,Not Prelim,24040,22010,2030,0.084
2006,Annual,Lake County,Not Adj,Not Prelim,24270,22410,1860,0.077
2005,Annual,Lake County,Not Adj,Not Prelim,25990,23930,2060,0.079
2004,Annual,Lake County,Not Adj,Not Prelim,25760,23440,2320,0.090
2003,Annual,Lake County,Not Adj,Not Prelim,25860,23510,2350,0.091
2002,Annual,Lake County,Not Adj,Not Prelim,25690,23570,2120,0.083
2001,Annual,Lake County,Not Adj,Not Prelim,24770,23030,1740,0.070
2000,Annual,Lake County,Not Adj,Not Prelim,23100,21420,1680,0.073
1999,Annual,Lake County,Not Adj,Not Prelim,23530,21700,1840,0.078
1998,Annual,Lake County,Not Adj,Not Prelim,23130,20910,2230,0.096
1997,Annual,Lake County,Not Adj,Not Prelim,23000,20530,2470,0.107
1996,Annual,Lake County,Not Adj,Not Prelim,23580,20840,2750,0.116
1995,Annual,Lake County,Not Adj,Not Prelim,23670,20890,2770,0.117
1994,Annual,Lake County,Not Adj,Not Prelim,22440,19660,2790,0.124
1993,Annual,Lake County,Not Adj,Not Prelim,22880,19840,3050,0.133
1992,Annual,Lake County,Not Adj,Not Prelim,22340,19480,2860,0.128
1991,Annual,Lake County,Not Adj,Not Prelim,20900,18690,2210,0.106
1990,Annual,Lake County,Not Adj,Not Prelim,19970,18200,1770,0.089
2019,Annual,Lassen County,Not Adj,Prelim,9870,9420,450,0.046
2018,Annual,Lassen County,Not Adj,Not Prelim,9870,9390,480,0.048
2017,Annual,Lassen County,Not Adj,Not Prelim,10040,9480,550,0.055
2016,Annual,Lassen County,Not Adj,Not Prelim,10360,9640,720,0.069
2015,Annual,Lassen County,Not Adj,Not Prelim,10760,9980,780,0.072
2014,Annual,Lassen County,Not Adj,Not Prelim,10820,9830,980,0.091
2013,Annual,Lassen County,Not Adj,Not Prelim,11010,9840,1170,0.106
2012,Annual,Lassen County,Not Adj,Not Prelim,11470,10040,1430,0.125
2011,Annual,Lassen County,Not Adj,Not Prelim,11790,10190,1590,0.135
2010,Annual,Lassen County,Not Adj,Not Prelim,12100,10400,1700,0.140
2009,Annual,Lassen County,Not Adj,Not Prelim,13560,11890,1670,0.123
2008,Annual,Lassen County,Not Adj,Not Prelim,12820,11590,1230,0.096
2007,Annual,Lassen County,Not Adj,Not Prelim,12440,11420,1010,0.082
2006,Annual,Lassen County,Not Adj,Not Prelim,12220,11250,960,0.079
2005,Annual,Lassen County,Not Adj,Not Prelim,12250,11260,980,0.080
2004,Annual,Lassen County,Not Adj,Not Prelim,12180,11260,920,0.076
2003,Annual,Lassen County,Not Adj,Not Prelim,12310,11370,940,0.076
2002,Annual,Lassen County,Not Adj,Not Prelim,12190,11260,930,0.077
2001,Annual,Lassen County,Not Adj,Not Prelim,11670,10810,850,0.073
2000,Annual,Lassen County,Not Adj,Not Prelim,11360,10550,810,0.072
1999,Annual,Lassen County,Not Adj,Not Prelim,11060,10280,780,0.071
1998,Annual,Lassen County,Not Adj,Not Prelim,11290,10220,1060,0.094
1997,Annual,Lassen County,Not Adj,Not Prelim,11650,10520,1120,0.096
1996,Annual,Lassen County,Not Adj,Not Prelim,11730,10460,1270,0.108
1995,Annual,Lassen County,Not Adj,Not Prelim,10980,9770,1210,0.110
1994,Annual,Lassen County,Not Adj,Not Prelim,11170,9910,1260,0.113
1993,Annual,Lassen County,Not Adj,Not Prelim,10940,9580,1350,0.124
1992,Annual,Lassen County,Not Adj,Not Prelim,10770,9540,1230,0.114
1991,Annual,Lassen County,Not Adj,Not Prelim,10240,9180,1060,0.104
1990,Annual,Lassen County,Not Adj,Not Prelim,9980,9000,980,0.098
2019,Annual,Los Angeles County,Not Adj,Prelim,5121600,4894300,227300,0.044
2018,Annual,Los Angeles County,Not Adj,Not Prelim,5095500,4860300,235200,0.046
2017,Annual,Los Angeles County,Not Adj,Not Prelim,5084000,4841900,242200,0.048
2016,Annual,Los Angeles County,Not Adj,Not Prelim,5030500,4765900,264600,0.053
2015,Annual,Los Angeles County,Not Adj,Not Prelim,4980300,4650700,329600,0.066
2014,Annual,Los Angeles County,Not Adj,Not Prelim,4992600,4580300,412300,0.083
2013,Annual,Los Angeles County,Not Adj,Not Prelim,4967200,4482600,484600,0.098
2012,Annual,Los Angeles County,Not Adj,Not Prelim,4915300,4378400,536900,0.109
2011,Annual,Los Angeles County,Not Adj,Not Prelim,4928500,4327900,600500,0.122
2010,Annual,Los Angeles County,Not Adj,Not Prelim,4917400,4302300,615100,0.125
2009,Annual,Los Angeles County,Not Adj,Not Prelim,4914700,4345200,569500,0.116
2008,Annual,Los Angeles County,Not Adj,Not Prelim,4929000,4555100,373900,0.076
2007,Annual,Los Angeles County,Not Adj,Not Prelim,4864200,4614800,249400,0.051
2006,Annual,Los Angeles County,Not Adj,Not Prelim,4807900,4577600,230300,0.048
2005,Annual,Los Angeles County,Not Adj,Not Prelim,4781600,4525200,256400,0.054
2004,Annual,Los Angeles County,Not Adj,Not Prelim,4753500,4445400,308100,0.065
2003,Annual,Los Angeles County,Not Adj,Not Prelim,4739500,4409900,329600,0.070
2002,Annual,Los Angeles County,Not Adj,Not Prelim,4751600,4430900,320600,0.067
2001,Annual,Los Angeles County,Not Adj,Not Prelim,4740500,4471500,269000,0.057
2000,Annual,Los Angeles County,Not Adj,Not Prelim,4677400,4425600,251800,0.054
1999,Annual,Los Angeles County,Not Adj,Not Prelim,4576400,4307000,269400,0.059
1998,Annual,Los Angeles County,Not Adj,Not Prelim,4533300,4235400,297900,0.066
1997,Annual,Los Angeles County,Not Adj,Not Prelim,4420900,4116800,304100,0.069
1996,Annual,Los Angeles County,Not Adj,Not Prelim,4323600,3971500,352100,0.081
1995,Annual,Los Angeles County,Not Adj,Not Prelim,4279500,3935600,343900,0.080
1994,Annual,Los Angeles County,Not Adj,Not Prelim,4290800,3893300,397500,0.093
1993,Annual,Los Angeles County,Not Adj,Not Prelim,4340500,3908800,431600,0.099
1992,Annual,Los Angeles County,Not Adj,Not Prelim,4441200,4002600,438600,0.099
1991,Annual,Los Angeles County,Not Adj,Not Prelim,4471700,4114800,356900,0.080
1990,Annual,Los Angeles County,Not Adj,Not Prelim,4498700,4233100,265600,0.059
2019,Annual,Madera County,Not Adj,Prelim,61900,57700,4300,0.069
2018,Annual,Madera County,Not Adj,Not Prelim,61300,57000,4400,0.071
2017,Annual,Madera County,Not Adj,Not Prelim,61000,56000,4900,0.081
2016,Annual,Madera County,Not Adj,Not Prelim,61000,55400,5600,0.092
2015,Annual,Madera County,Not Adj,Not Prelim,59800,53500,6300,0.105
2014,Annual,Madera County,Not Adj,Not Prelim,61800,54900,6900,0.112
2013,Annual,Madera County,Not Adj,Not Prelim,62300,54400,7800,0.126
2012,Annual,Madera County,Not Adj,Not Prelim,62500,53500,9000,0.144
2011,Annual,Madera County,Not Adj,Not Prelim,62000,52000,10000,0.162
2010,Annual,Madera County,Not Adj,Not Prelim,61600,51400,10200,0.166
2009,Annual,Madera County,Not Adj,Not Prelim,66500,57600,8900,0.134
2008,Annual,Madera County,Not Adj,Not Prelim,65000,58900,6200,0.095
2007,Annual,Madera County,Not Adj,Not Prelim,63400,58600,4700,0.075
2006,Annual,Madera County,Not Adj,Not Prelim,62700,58400,4400,0.070
2005,Annual,Madera County,Not Adj,Not Prelim,61900,57000,4900,0.079
2004,Annual,Madera County,Not Adj,Not Prelim,61100,55500,5600,0.091
2003,Annual,Madera County,Not Adj,Not Prelim,59000,52900,6100,0.103
2002,Annual,Madera County,Not Adj,Not Prelim,55500,49700,5900,0.105
2001,Annual,Madera County,Not Adj,Not Prelim,53900,48800,5200,0.096
2000,Annual,Madera County,Not Adj,Not Prelim,55000,50200,4800,0.087
1999,Annual,Madera County,Not Adj,Not Prelim,52800,46600,6100,0.116
1998,Annual,Madera County,Not Adj,Not Prelim,52400,45700,6700,0.128
1997,Annual,Madera County,Not Adj,Not Prelim,52000,45000,7000,0.135
1996,Annual,Madera County,Not Adj,Not Prelim,52000,44700,7400,0.142
1995,Annual,Madera County,Not Adj,Not Prelim,50600,43100,7600,0.149
1994,Annual,Madera County,Not Adj,Not Prelim,48400,41000,7400,0.153
1993,Annual,Madera County,Not Adj,Not Prelim,47900,40100,7800,0.162
1992,Annual,Madera County,Not Adj,Not Prelim,46900,39100,7800,0.166
1991,Annual,Madera County,Not Adj,Not Prelim,44200,37600,6600,0.149
1990,Annual,Madera County,Not Adj,Not Prelim,41600,35900,5600,0.135
2019,Annual,Marin County,Not Adj,Prelim,140000,136800,3200,0.023
2018,Annual,Marin County,Not Adj,Not Prelim,139900,136400,3400,0.024
2017,Annual,Marin County,Not Adj,Not Prelim,139800,135800,4000,0.029
2016,Annual,Marin County,Not Adj,Not Prelim,139600,135000,4600,0.033
2015,Annual,Marin County,Not Adj,Not Prelim,138700,133800,4900,0.036
2014,Annual,Marin County,Not Adj,Not Prelim,138800,132900,5900,0.043
2013,Annual,Marin County,Not Adj,Not Prelim,138400,131200,7200,0.052
2012,Annual,Marin County,Not Adj,Not Prelim,136900,128300,8600,0.063
2011,Annual,Marin County,Not Adj,Not Prelim,134600,124800,9800,0.073
2010,Annual,Marin County,Not Adj,Not Prelim,133000,122600,10400,0.079
2009,Annual,Marin County,Not Adj,Not Prelim,132000,122100,9900,0.075
2008,Annual,Marin County,Not Adj,Not Prelim,132200,126000,6200,0.047
2007,Annual,Marin County,Not Adj,Not Prelim,131900,127100,4800,0.037
2006,Annual,Marin County,Not Adj,Not Prelim,130600,126000,4600,0.035
2005,Annual,Marin County,Not Adj,Not Prelim,129100,124100,5000,0.039
2004,Annual,Marin County,Not Adj,Not Prelim,129200,123500,5700,0.044
2003,Annual,Marin County,Not Adj,Not Prelim,130600,124300,6400,0.049
2002,Annual,Marin County,Not Adj,Not Prelim,134500,128000,6500,0.048
2001,Annual,Marin County,Not Adj,Not Prelim,140000,135100,4900,0.035
2000,Annual,Marin County,Not Adj,Not Prelim,141900,137900,4100,0.029
