company,written_premium_(b),market_share,earned_premium_(b),incurred_loss_(b),loss_ratio,year
New Hampshire Ins Co - 23841,"61,418",0.01%,"54,917","1,140",2.08%,2017
North Amer Elite Ins Co - 29700,"1,423,025",0.15%,"589,488","871,619",147.86%,2017
North Amer Specialty Ins Co - 29874,"27,906",0.00%,"27,873","4,987",17.89%,2017
North River Ins Co - 21105,164,0.00%,164,5,3.05%,2017
Northland Ins Co - 24015,"10,619",0.00%,"14,578","10,861",74.50%,2017
Nova Cas Co - 42552,"3,724",0.00%,"19,726","98,241",498.03%,2017
Ohio Cas Ins Co - 24074,"817,409",0.09%,"673,372","1,336,099",198.42%,2017
Ohio Security Ins Co - 24082,"2,012,814",0.22%,"1,900,132","209,376",11.02%,2017
Oregon Mut Ins Co - 14907,"1,266,782",0.14%,"1,250,122","1,168,659",93.48%,2017
Pacific Employers Ins Co - 22748,"1,711,400",0.19%,"1,544,866","17,037,172",1102.83%,2017
Pacific Ind Co - 20346,"6,840",0.00%,"6,564","3,129",47.67%,2017
Pacific Prop & Cas Co - 11048,"176,889",0.02%,"144,854","73,146",50.50%,2017
Peerless Ind Ins Co - 18333,"13,335",0.00%,"86,758","-21,065",-24.28%,2017
Peerless Ins Co - 24198,"4,458,652",0.48%,"4,988,114","3,896,826",78.12%,2017
Penn Amer Ins Co - 32859,"9,505",0.00%,"12,505","-1,284",-10.27%,2017
Pennsylvania Lumbermens Mut Ins - 14974,"1,509,054",0.16%,"1,589,368","2,087,959",131.37%,2017
Philadelphia Ind Ins Co - 18058,"17,103",0.00%,"23,090",-37,-0.16%,2017
QBE Ins Corp - 39217,"813,197",0.09%,"974,592","2,737,575",280.89%,2017
Regent Ins Co - 24449,"4,362",0.00%,"3,428",-639,-18.64%,2017
Residence Mut Ins Co - 15776,"2,150,892",0.23%,"2,243,080","1,017,220",45.35%,2017
Riverport Ins Co - 36684,"7,812",0.00%,"52,563","-89,990",-171.20%,2017
RSUI Ind Co - 22314,"1,242,474",0.13%,"1,224,084","414,909",33.90%,2017
Safeco Ins Co Of Amer - 24740,"58,331,788",6.32%,"60,608,164","77,213,007",127.40%,2017
Scottsdale Ind Co - 15580,"78,536",0.01%,"67,512","9,822",14.55%,2017
Security Natl Ins Co - 19879,"225,864",0.02%,"448,629","101,737",22.68%,2017
Seneca Ins Co Inc - 10936,"604,840",0.07%,"1,004,286","98,577",9.82%,2017
Sentry Ins A Mut Co - 24988,"2,459,689",0.27%,"2,686,729","108,333",4.03%,2017
Sentry Select Ins Co - 21180,"1,213,065",0.13%,"1,362,992","6,296,011",461.93%,2017
Sequoia Ins Co - 22985,"121,802",0.01%,"141,455","49,123",34.73%,2017
Sirius Amer Ins Co - 38776,"12,872",0.00%,"25,660","2,823",11.00%,2017
Sompo Japan Ins Co of Amer - 11126,"811,378",0.09%,"1,090,179","-102,367",-9.39%,2017
St Paul Fire & Marine Ins Co - 24767,"255,157",0.03%,"437,991","322,030",73.52%,2017
St Paul Guardian Ins Co - 24775,640,0.00%,323,-762,-235.91%,2017
St Paul Mercury Ins Co - 24791,"1,189",0.00%,"-2,101","-13,342",635.03%,2017
Standard Fire Ins Co - 19070,"2,333,835",0.25%,"2,325,425","754,089",32.43%,2017
Standard Guar Ins Co - 42986,"89,066",0.01%,"91,833",-927,-1.01%,2017
Star Ins Co - 18023,"4,047",0.00%,"3,495",17,0.49%,2017
Starnet Ins Co - 40045,"117,373",0.01%,"116,842","14,205",12.16%,2017
Starr Ind & Liab Co - 38318,"24,073",0.00%,"36,313","9,200",25.34%,2017
State Farm Gen Ins Co - 25151,"9,508,039",1.03%,"9,480,394","2,774,483",29.27%,2017
Stillwater Ins Co - 25180,"3,870,043",0.42%,"3,734,493","4,445,015",119.03%,2017
Sutter Ins Co - 32107,"173,420",0.02%,"179,903","100,393",55.80%,2017
Technology Ins Co Inc - 42376,"17,632",0.00%,"27,298",953,3.49%,2017
The Cincinnati Cas Co - 28665,84,0.00%,46, -   ,0.00%,2017
The Cincinnati Ind Co - 23280,"2,301",0.00%,"2,138", -   ,0.00%,2017
The Cincinnati Ins Co - 10677,"52,075",0.01%,"50,006","-2,298",-4.60%,2017
Tokio Marine Amer Ins Co - 10945,"6,801,487",0.74%,"6,607,370","4,348,894",65.82%,2017
Topa Ins Co - 18031,"1,655,771",0.18%,"1,418,968","776,617",54.73%,2017
Transguard Ins Co Of Amer Inc - 28886,"64,592",0.01%,"59,734","122,936",205.81%,2017
Transportation Ins Co - 20494,"15,766",0.00%,"18,474","-4,730",-25.60%,2017
Travelers Cas & Surety Co - 19038,"1,542,324",0.17%,"1,537,806","453,564",29.49%,2017
Travelers Ind Co - 25658,223,0.00%,223, -   ,0.00%,2017
Travelers Ind Co Of CT - 25682,"608,471",0.07%,"688,802","323,446",46.96%,2017
Travelers Prop Cas Co Of Amer - 25674,"39,599,580",4.29%,"40,105,580","66,667,801",166.23%,2017
Travelers Prop Cas Ins Co - 36161,"13,102,352",1.42%,"12,593,109","12,157,024",96.54%,2017
Truck Ins Exch - 21709,"566,097",0.06%,"501,253","211,112",42.12%,2017
UFG Specialty Ins Co - 19526,"36,069",0.00%,"35,117","1,094",3.12%,2017
Unigard Ins Co - 25747,"2,444,739",0.26%,"2,577,638","44,785,396",1737.46%,2017
United Cas Ins Co Of Amer - 11142,"580,253",0.06%,"580,864","35,230",6.07%,2017
United Fire & Cas Co - 13021,"2,757,652",0.30%,"2,364,989","14,933,531",631.44%,2017
United Serv Automobile Assn - 25941,"13,232,699",1.43%,"13,159,252","16,151,678",122.74%,2017
United States Fire Ins Co - 21113,"334,654",0.04%,"630,179","33,970",5.39%,2017
United States Liab Ins Co - 25895,"7,036,609",0.76%,"6,677,984","2,123,369",31.80%,2017
Universal N Amer Ins Co - 10759,"14,445,583",1.56%,"14,699,501","8,842,885",60.16%,2017
Universal Underwriters Ins Co - 41181,"18,767",0.00%,"150,136","172,712",115.04%,2017
USAA Cas Ins Co - 25968,"8,884,583",0.96%,"8,687,001","10,541,081",121.34%,2017
USAA Gen Ind Co - 18600,"1,860,612",0.20%,"1,757,092","643,124",36.60%,2017
Utica Mut Ins Co - 25976,715,0.00%,630,-25,-3.97%,2017
Valley Forge Ins Co - 20508,"44,102",0.00%,"48,274","-1,581",-3.28%,2017
Vanliner Ins Co - 21172,"3,483",0.00%,"2,174", -   ,0.00%,2017
Verlan Fire Ins Co MD - 10815,"3,673,886",0.40%,"3,591,515","-814,257",-22.67%,2017
Vigilant Ins Co - 20397,"62,349",0.01%,"60,523","29,741",49.14%,2017
Wawanesa Gen Ins Co - 10683,"124,215",0.01%,"120,897","39,399",32.59%,2017
Wesco Ins Co - 25011,"29,579",0.00%,"384,341","423,752",110.25%,2017
West Amer Ins Co - 44393,"1,793,013",0.19%,"1,607,450","1,008,725",62.75%,2017
Westchester Fire Ins Co - 10030,"5,640,141",0.61%,"5,651,065","1,491,291",26.39%,2017
Western Mut Ins Co - 13625,"68,989",0.01%,"70,411","36,306",51.56%,2017
Westport Ins Corp - 39845,"6,122,342",0.66%,"8,460,188","7,592,422",89.74%,2017
XL Ins Amer Inc - 24554,"10,564,756",1.14%,"10,678,554","3,738,443",35.01%,2017
Zenith Ins Co - 13269,"5,996,930",0.65%,"5,650,943","5,283,690",93.50%,2017
Zurich Amer Ins Co - 16535,"32,706,110",3.54%,"32,779,431","22,502,873",68.65%,2017
Zurich Amer Ins Co Of IL - 27855,"15,801",0.00%,"16,630","-3,524",-21.19%,2017
Merced Prop & Cas Co - 15768,"433,707",0.05%,"433,861","127,441",29.37%,2017
Employers Ins  of Wausau - 21458,"2,022,912",0.22%,"1,135,644","2,572,475",226.52%,2017
Fire Ins Exch - 21660,"65,325,944",6.89%,"69,709,151","34,294,233",49.20%,2016
American Security Ins Co - 42978,"60,627,104",6.39%,"59,199,843","13,555,794",22.90%,2016
Safeco Ins Co Of Amer - 24740,"59,791,723",6.30%,"59,288,327","25,658,415",43.28%,2016
CSAA Fire & Cas Ins Co - 10921,"53,578,611",5.65%,"53,394,102","24,577,689",46.03%,2016
Amco Ins Co - 19100,"41,276,831",4.35%,"40,990,683","10,505,145",25.63%,2016
Travelers Prop Cas Co Of Amer - 25674,"39,724,428",4.19%,"39,587,137","27,736,710",70.06%,2016
American Home Assur Co - 19380,"34,047,306",3.59%,"13,404,564","7,402,176",55.22%,2016
Zurich Amer Ins Co - 16535,"30,836,126",3.25%,"33,038,530","-6,201,678",-18.77%,2016
Affiliated Fm Ins Co - 10014,"29,852,315",3.15%,"29,920,718","10,613,306",35.47%,2016
Foremost Ins Co Grand Rapids MI - 11185,"28,173,092",2.97%,"26,443,099","13,650,620",51.62%,2016
First Amer Specilaty Ins Co - 34525,"24,275,101",2.56%,"24,303,272","11,692,948",48.11%,2016
Liberty Mut Fire Ins Co - 23035,"22,830,258",2.41%,"24,336,527","4,101,195",16.85%,2016
Factory Mut Ins Co - 21482,"21,824,997",2.30%,"23,107,505","10,563,727",45.72%,2016
Interins Exch Of The Automobile Club - 15598,"21,734,159",2.29%,"21,261,434","9,235,406",43.44%,2016
CSE Safeguard Ins Co - 18953,"20,048,060",2.11%,"14,474,496","3,917,334",27.06%,2016
American Modern Home Ins Co - 23469,"18,573,591",1.96%,"21,598,690","6,209,199",28.75%,2016
Allianz Global Risks US Ins Co - 35300,"15,955,279",1.68%,"15,630,728","-1,157,368",-7.40%,2016
Universal N Amer Ins Co - 10759,"15,270,122",1.61%,"15,458,092","6,943,946",44.92%,2016
Mercury Cas Co - 11908,"14,993,791",1.58%,"14,929,579","5,518,524",36.96%,2016
California Capital Ins Co - 13544,"14,543,072",1.53%,"14,586,586","2,529,711",17.34%,2016
Insurance Co Of The State Of PA - 19429,"14,111,615",1.49%,"13,795,003","-1,691,198",-12.26%,2016
United Serv Automobile Assn - 25941,"12,550,509",1.32%,"12,686,193","4,586,096",36.15%,2016
Allied Prop & Cas Ins Co - 42579,"12,407,829",1.31%,"12,330,821","5,105,948",41.41%,2016
Travelers Prop Cas Ins Co - 36161,"12,209,457",1.29%,"11,982,234","4,748,487",39.63%,2016
XL Ins Amer Inc - 24554,"11,674,367",1.23%,"13,481,300","-4,503,280",-33.40%,2016
Farmers Ins Exch - 21652,"10,985,773",1.16%,"11,522,110","5,965,125",51.77%,2016
Westport Ins Corp - 39845,"10,982,239",1.16%,"8,852,031","2,302,058",26.01%,2016
American Guar & Liab Ins - 26247,"10,717,115",1.13%,"10,265,912","5,335,089",51.97%,2016
State Farm Gen Ins Co - 25151,"9,209,194",0.97%,"9,112,556","4,256,232",46.71%,2016
Neighborhood Spirit Prop & Cas Co - 10317,"8,513,774",0.90%,"8,533,201","2,784,254",32.63%,2016
USAA Cas Ins Co - 25968,"8,509,704",0.90%,"8,478,360","1,667,539",19.67%,2016
HDI Global Ins Co - 41343,"7,055,970",0.74%,"6,799,891","1,606,849",23.63%,2016
Fidelity & Deposit Co Of MD  - 39306,"6,755,670",0.71%,"6,413,476","3,878,789",60.48%,2016
United States Liab Ins Co - 25895,"6,439,241",0.68%,"6,182,895","3,561,019",57.59%,2016
Nationwide Mut Ins Co - 23787,"6,300,150",0.66%,"6,383,034","15,211,801",238.32%,2016
Tokio Marine Amer Ins Co - 10945,"6,255,841",0.66%,"5,963,505","496,399",8.32%,2016
Continental Cas Co - 20443,"6,159,053",0.65%,"5,607,134","3,868,478",68.99%,2016
Century Natl Ins Co - 26905,"6,033,827",0.64%,"6,215,753","389,879",6.27%,2016
National Union Fire Ins Co Of Pitts - 19445,"5,580,782",0.59%,"6,340,811","10,201,985",160.89%,2016
Peerless Ins Co - 24198,"5,554,377",0.59%,"5,820,281","2,926,517",50.28%,2016
Zenith Ins Co - 13269,"5,494,956",0.58%,"5,171,805","384,711",7.44%,2016
Encompass Ins Co - 10358,"5,316,141",0.56%,"5,211,108","2,830,346",54.31%,2016
Westchester Fire Ins Co - 10030,"5,150,562",0.54%,"5,148,824","9,290,905",180.45%,2016
Axis Ins Co - 37273,"5,068,407",0.53%,"6,183,575","1,891,311",30.59%,2016
Liberty Mut Ins Co - 23043,"4,628,815",0.49%,"4,292,653","2,124,042",49.48%,2016
Kemper Independence Ins Co - 10914,"4,503,993",0.47%,"4,398,259","679,357",15.45%,2016
Civil Serv Employees Ins Co - 10693,"4,406,498",0.46%,"4,507,136","331,021",7.34%,2016
Hartford Fire Ins Co - 19682,"3,892,911",0.41%,"4,012,519","1,397,633",34.83%,2016
Nationwide Ins Co Of Amer - 25453,"3,688,670",0.39%,"3,498,320","2,871,774",82.09%,2016
Verlan Fire Ins Co MD - 10815,"3,624,051",0.38%,"3,579,676","13,725,096",383.42%,2016
Stillwater Ins Co - 25180,"3,614,782",0.38%,"3,408,066","1,701,267",49.92%,2016
Federated Mut Ins Co - 13935,"3,540,058",0.37%,"3,433,770","742,475",21.62%,2016
AXA Ins Co - 33022,"2,924,102",0.31%,"2,969,708","-135,409",-4.56%,2016
Unigard Ins Co - 25747,"2,714,953",0.29%,"2,973,015","139,863",4.70%,2016
Sentry Ins A Mut Co - 24988,"2,708,038",0.29%,"2,710,749","514,234",18.97%,2016
CSAA Ins Exch - 15539,"2,619,661",0.28%,"2,479,825","937,312",37.80%,2016
Standard Fire Ins Co - 19070,"2,366,184",0.25%,"2,335,012","1,164,651",49.88%,2016
Residence Mut Ins Co - 15776,"2,311,396",0.24%,"2,384,276","436,488",18.31%,2016
Civic Prop & Cas Co  - 10315,"2,170,213",0.23%,"2,124,321","1,038,915",48.91%,2016
United Fire & Cas Co - 13021,"2,012,361",0.21%,"2,373,169","80,806",3.40%,2016
Nationwide Agribusiness Ins Co - 28223,"1,877,356",0.20%,"1,884,123","7,996,000",424.39%,2016
Integon Natl Ins Co - 29742,"1,845,063",0.19%,"1,699,988","790,536",46.50%,2016
Pennsylvania Lumbermens Mut Ins - 14974,"1,801,219",0.19%,"1,557,618","32,652",2.10%,2016
Ohio Security Ins Co - 24082,"1,788,662",0.19%,"1,723,087","765,134",44.40%,2016
Exact Prop & Cas Co Inc - 10318,"1,778,764",0.19%,"1,813,148","160,330",8.84%,2016
Aspen Amer Ins Co - 43460,"1,765,070",0.19%,"1,594,192","1,269,146",79.61%,2016
Golden Bear Ins Co - 39861,"1,707,885",0.18%,"1,641,789","797,100",48.55%,2016
Garrison Prop & Cas Ins Co - 21253,"1,652,676",0.17%,"1,564,036","210,282",13.44%,2016
USAA Gen Ind Co - 18600,"1,647,295",0.17%,"1,525,653","521,547",34.19%,2016
Travelers Cas & Surety Co - 19038,"1,565,661",0.17%,"1,526,259","705,434",46.22%,2016
Seneca Ins Co Inc - 10936,"1,541,421",0.16%,"1,112,950","161,835",14.54%,2016
Hartford Underwriters Ins Co - 30104,"1,531,704",0.16%,"1,602,233","33,344",2.08%,2016
Sompo Japan Ins Co of Amer - 11126,"1,443,716",0.15%,"1,602,977","-1,098,490",-68.53%,2016
West Amer Ins Co - 44393,"1,435,661",0.15%,"1,334,746","4,768,552",357.26%,2016
Pacific Employers Ins Co - 22748,"1,380,121",0.15%,"1,198,634","2,588,828",215.98%,2016
Sentry Select Ins Co - 21180,"1,349,099",0.14%,"1,311,371","-13,189",-1.01%,2016
Dorinco Reins Co - 33499,"1,348,380",0.14%,"1,384,274", -   ,0.00%,2016
Employers Mut Cas Co - 21415,"1,288,619",0.14%,"1,221,754","207,500",16.98%,2016
American Reliable Ins Co - 19615,"1,276,253",0.13%,"1,352,864","537,472",39.73%,2016
Federal Ins Co - 20281,"1,268,077",0.13%,"1,231,866","574,451",46.63%,2016
Topa Ins Co - 18031,"1,254,125",0.13%,"1,005,441","227,667",22.64%,2016
Oregon Mut Ins Co - 14907,"1,236,917",0.13%,"1,275,901","1,154,738",90.50%,2016
RSUI Ind Co - 22314,"1,136,079",0.12%,"1,323,546","-61,404",-4.64%,2016
Wesco Ins Co - 25011,"1,117,828",0.12%,"1,282,045","-100,267",-7.82%,2016
Firemans Fund Ins Co - 21873,"1,056,638",0.11%,"1,381,498","764,178",55.32%,2016
Security Natl Ins Co - 19879,"1,016,088",0.11%,"1,016,905","194,840",19.16%,2016
Financial Pacific Ins Co - 31453,"1,000,170",0.11%,"997,166","137,451",13.78%,2016
Great Amer Ins Co of NY - 22136,"950,049",0.10%,"1,169,055","-37,135",-3.18%,2016
Greenwich Ins Co - 22322,"887,959",0.09%,"809,255","340,896",42.12%,2016
Amica Mut Ins Co - 19976,"864,129",0.09%,"856,859","67,837",7.92%,2016
Allied World Assur Co US Inc - 19489,"840,698",0.09%,"2,434,727","-16,919",-0.69%,2016
United States Fire Ins Co - 21113,"804,315",0.08%,"958,421","20,776,315",2167.77%,2016
Travelers Ind Co Of CT - 25682,"799,403",0.08%,"920,736","-573,429",-62.28%,2016
Florists Mut Ins Co - 13978,"799,131",0.08%,"425,966","963,137",226.11%,2016
St Paul Fire & Marine Ins Co - 24767,"775,314",0.08%,"874,581","-119,341",-13.65%,2016
Eagle W Ins Co - 12890,"730,459",0.08%,"744,469","204,072",27.41%,2016
Granite State Ins Co - 23809,"712,400",0.08%,"685,030","9,121",1.33%,2016
Federated Serv Ins Co - 28304,"707,802",0.07%,"709,663","-54,044",-7.62%,2016
Hiscox Ins Co Inc - 10200,"705,804",0.07%,"519,726","41,560",8.00%,2016
Atlantic Specialty Ins Co - 27154,"654,185",0.07%,"756,158","49,270",6.52%,2016
Grange Ins Assn - 22101,"649,502",0.07%,"642,100","51,283",7.99%,2016
Horace Mann Ins Co - 22578,"648,672",0.07%,"668,190","297,611",44.54%,2016
Truck Ins Exch - 21709,"627,069",0.07%,"669,219","282,370",42.19%,2016
Ohio Cas Ins Co - 24074,"616,287",0.07%,"588,561","76,075",12.93%,2016
Insurance Co of N Amer - 22713,"615,823",0.06%,"546,308","331,778",60.73%,2016
United Cas Ins Co Of Amer - 11142,"588,022",0.06%,"588,062","64,008",10.88%,2016
Geovera Ins Co - 10799,"585,094",0.06%,"578,784","233,393",40.32%,2016
QBE Ins Corp - 39217,"558,941",0.06%,"1,272,396","-779,472",-61.26%,2016
Universal Underwriters Ins Co - 41181,"482,431",0.05%,"731,716","570,894",78.02%,2016
Merced Prop & Cas Co - 15768,"429,603",0.05%,"430,872","156,696",36.37%,2016
Mitsui Sumitomo Ins Co of Amer - 20362,"369,840",0.04%,"279,363","100,214",35.87%,2016
American Alt Ins Corp - 19720,"368,151",0.04%,"460,526","116,527",25.30%,2016
Armed Forces Ins Exch - 41459,"323,354",0.03%,"333,590","561,480",168.31%,2016
Mapfre Ins Co - 23876,"320,860",0.03%,"337,238","257,979",76.50%,2016
Riverport Ins Co - 36684,"294,962",0.03%,"847,500","67,907",8.01%,2016
Guideone Specialty Mut Ins Co - 14559,"290,300",0.03%,"310,142","-5,052",-1.63%,2016
Nationwide Mut Fire Ins Co - 23779,"255,816",0.03%,"265,289","14,338",5.40%,2016
Arch Ins Co - 11150,"233,403",0.02%,"290,801","102,318",35.18%,2016
Great Amer Ins Co - 16691,"223,493",0.02%,"160,146","-12,705",-7.93%,2016
Hanover Ins Co - 22292,"221,322",0.02%,"214,759","-45,810",-21.33%,2016
Citizens Ins Co Of Amer - 31534,"216,607",0.02%,"201,623","103,651",51.41%,2016
General Cas Co Of WI - 24414,"208,622",0.02%,"125,224","37,439",29.90%,2016
Everest Natl Ins Co  - 10120,"202,185",0.02%,"108,996","11,007",10.10%,2016
Kookmin Best Ins Co Ltd - 37800,"199,354",0.02%,"145,544","107,292",73.72%,2016
Sutter Ins Co - 32107,"194,494",0.02%,"204,677","56,049",27.38%,2016
Sequoia Ins Co - 22985,"192,685",0.02%,"192,685","140,812",73.08%,2016
California Cas Ind Exch - 20117,"185,433",0.02%,"190,023","86,179",45.35%,2016
Hartford Cas Ins Co - 29424,"182,749",0.02%,"200,356","327,706",163.56%,2016
California Mut Ins Co - 27480,"180,565",0.02%,"181,942","210,665",115.79%,2016
Massachusetts Bay Ins Co - 22306,"167,588",0.02%,"169,312","-66,285",-39.15%,2016
Ace Amer Ins Co - 22667,"165,358",0.02%,"186,318","20,822",11.18%,2016
XL Specialty Ins Co - 37885,"157,049",0.02%,"243,530","101,531",41.69%,2016
Berkley Regional Ins Co - 29580,"145,015",0.02%,"76,061","2,095",2.75%,2016
Harco Natl Ins Co - 26433,"144,630",0.02%,"133,993","30,265",22.59%,2016
Continental Ins Co - 35289,"143,490",0.02%,"131,146","-5,211",-3.97%,2016
Starnet Ins Co - 40045,"139,002",0.01%,"135,069",681,0.50%,2016
Horace Mann Prop & Cas Ins Co - 22756,"132,925",0.01%,"142,757","153,462",107.50%,2016
Church Mut Ins Co - 18767,"131,035",0.01%,"125,432","-545,803",-435.14%,2016
Peerless Ind Ins Co - 18333,"126,717",0.01%,"141,430","8,040",5.68%,2016
Pacific Prop & Cas Co - 11048,"126,008",0.01%,"115,077","30,042",26.11%,2016
New York Marine & Gen Ins Co - 16608,"121,354",0.01%,"38,076","4,760",12.50%,2016
General Ins Co Of Amer - 24732,"119,124",0.01%,"246,292","-32,088",-13.03%,2016
Wawanesa Gen Ins Co - 10683,"116,394",0.01%,"112,742","56,715",50.31%,2016
Crusader Ins Co - 14010,"115,156",0.01%,"100,581","37,972",37.75%,2016
First Amer Prop & Cas Ins Co - 37710,"111,321",0.01%,"111,321","71,141",63.91%,2016
Metropolitan Drt Prop & Cas Ins Co - 25321,"103,892",0.01%,"97,019","42,877",44.19%,2016
National Gen Premier Ins Co - 12832,"98,495",0.01%,"468,008","2,158",0.46%,2016
Standard Guar Ins Co - 42986,"94,876",0.01%,"98,299","33,486",34.07%,2016
American States Ins Co - 19704,"94,367",0.01%,"250,508","-53,177",-21.23%,2016
American Economy Ins Co - 19690,"94,221",0.01%,"182,831","13,857",7.58%,2016
Great Northern Ins Co - 20303,"92,511",0.01%,"149,262","16,623",11.14%,2016
Coastal Select Ins Co - 10887,"88,448",0.01%,"90,088","41,039",45.55%,2016
Allianz Underwriters Ins Co - 36420,"80,996",0.01%,"71,776", -   ,0.00%,2016
First Natl Ins Co Of Amer - 24724,"77,916",0.01%,"170,514","15,627",9.16%,2016
Hanover Amer Ins Co - 36064,"76,699",0.01%,"44,564","-26,042",-58.44%,2016
American Zurich Ins Co - 40142,"75,019",0.01%,"65,714",99,0.15%,2016
Western Mut Ins Co - 13625,"71,720",0.01%,"71,490","-173,097",-242.13%,2016
New Hampshire Ins Co - 23841,"69,811",0.01%,"63,367","1,367",2.16%,2016
Vigilant Ins Co - 20397,"59,518",0.01%,"63,598","27,217",42.80%,2016
ASI Select Ins Corp - 14042,"57,258",0.01%,"8,293", -   ,0.00%,2016
Transguard Ins Co Of Amer Inc - 28886,"57,204",0.01%,"55,453","18,596",33.53%,2016
Mitsui Sumitomo Ins USA Inc - 22551,"56,082",0.01%,"53,753","18,857",35.08%,2016
Nova Cas Co - 42552,"54,919",0.01%,"66,886","490,135",732.79%,2016
American Cas Co Of Reading PA - 20427,"51,182",0.01%,"55,335","-2,623",-4.74%,2016
Cincinnati Ins Co - 10677,"47,451",0.01%,"58,956","-2,659",-4.51%,2016
Great Amer Assur Co - 26344,"46,561",0.00%,"60,883","-66,013",-108.43%,2016
Scottsdale Ind Co - 15580,"45,169",0.00%,"33,980","6,678",19.65%,2016
Berkley Natl Ins Co - 38911,"44,738",0.00%,"21,477","8,437",39.28%,2016
Technology Ins Co Inc - 42376,"43,432",0.00%,"29,924",503,1.68%,2016
Zurich Amer Ins Co Of IL - 27855,"43,405",0.00%,"43,052","3,634",8.44%,2016
Federated Rural Electric Ins Exch - 11118,"40,572",0.00%,"40,950","1,948",4.76%,2016
Indemnity Ins Co Of North Amer - 43575,"37,485",0.00%,"37,467","3,656",9.76%,2016
Guideone Mut Ins Co - 15032,"36,413",0.00%,"47,068","-2,388",-5.07%,2016
Hudson Ins Co - 25054,"34,164",0.00%,"35,130","2,038",5.80%,2016
Starr Ind & Liab Co - 38318,"30,838",0.00%,"28,464","7,363",25.87%,2016
Electric Ins Co - 21261,"27,718",0.00%,"27,404", -   ,0.00%,2016
Philadelphia Ind Ins Co - 18058,"27,430",0.00%,"23,469",35,0.15%,2016
Berkshire Hathaway Specialty Ins Co - 22276,"24,073",0.00%,"27,957","11,280",40.35%,2016
Golden Eagle Ins Corp - 10836,"22,816",0.00%,"24,275","5,661",23.32%,2016
Farmland Mut Ins Co - 13838,"19,340",0.00%,"31,424","-8,225",-26.17%,2016
Diamond State Ins Co - 42048,"19,295",0.00%,"18,882","-3,812",-20.19%,2016
Empire Fire & Marine Ins Co - 21326,"19,130",0.00%,"23,786",-991,-4.17%,2016
Transportation Ins Co - 20494,"16,546",0.00%,"34,680","7,221",20.82%,2016
Penn Amer Ins Co - 32859,"16,175",0.00%,"26,239","-4,887",-18.62%,2016
Valley Forge Ins Co - 20508,"16,146",0.00%,"8,814","2,456",27.86%,2016
Public Serv Ins Co - 15059,"15,745",0.00%,"16,069","7,907",49.21%,2016
Sirius Amer Ins Co - 38776,"15,589",0.00%,"2,801","1,054",37.63%,2016
UFG Specialty Ins Co - 19526,"14,480",0.00%,578,14,2.42%,2016
Imperium Ins Co - 35408,"13,788",0.00%,"14,065", -   ,0.00%,2016
North Amer Specialty Ins Co - 29874,"11,548",0.00%,"7,544",-453,-6.00%,2016
National Fire Ins Co Of Hartford - 20478,"10,236",0.00%,"8,691","-7,109",-81.80%,2016
Freedom Specialty Ins Co - 22209,"9,720",0.00%,"13,074",764,5.84%,2016
Corepointe Ins Co - 10499,"9,340",0.00%,"18,719", -   ,0.00%,2016
Crestbrook Ins Co - 18961,"9,032",0.00%,"6,422","1,477",23.00%,2016
Northland Ins Co - 24015,"8,056",0.00%,"8,396","-2,416",-28.78%,2016
Markel Ins Co - 38970,"8,046",0.00%,"4,238","-8,840",-208.59%,2016
American Fire & Cas Co - 24066,"8,014",0.00%,"15,237",198,1.30%,2016
Wausau Underwriters Ins Co - 26042,"7,574",0.00%,"28,937",-475,-1.64%,2016
AXIS Reins Co - 20370,"7,181",0.00%,"17,331","14,944",86.23%,2016
Pacific Ind Co - 20346,"6,354",0.00%,"6,355","2,662",41.89%,2016
National Interstate Ins Co - 32620,"5,758",0.00%,"10,625", -   ,0.00%,2016
Netherlands Ins Co The - 24171,"5,527",0.00%,"5,422",157,2.90%,2016
Amerisure Mut Ins Co - 23396,"5,403",0.00%,"7,543",453,6.01%,2016
Alaska Natl Ins Co - 38733,"4,813",0.00%,"4,814",-609,-12.65%,2016
Capitol Ind Corp - 10472,"4,200",0.00%,"3,161",-333,-10.53%,2016
Mid Century Ins Co - 21687,"4,026",0.00%,"4,092",-36,-0.88%,2016
Samsung Fire & Marine Ins Co Ltd - 38300,"3,882",0.00%,"2,844",620,21.80%,2016
Star Ins Co - 18023,"3,063",0.00%,"3,615",75,2.07%,2016
Regent Ins Co - 24449,"2,611",0.00%,"1,966","1,100",55.95%,2016
Great Amer Alliance Ins Co - 26832,"2,400",0.00%,"1,704",109,6.40%,2016
Employers Ins  of Wausau - 21458,"2,374",0.00%,"2,914",-680,-23.34%,2016
Praetorian Ins Co - 37257,"2,128",0.00%,"3,309","1,140,708",34472.89%,2016
The Cincinnati Ind Co - 23280,"2,095",0.00%,"1,135", -   ,0.00%,2016
St Paul Mercury Ins Co - 24791,"2,081",0.00%,"8,015","-39,999",-499.05%,2016
Hyundai Marine & Fire Ins Co Ltd - 10048,"1,905",0.00%,"1,169", -   ,0.00%,2016
Acceptance Ind Ins Co - 20010,"1,786",0.00%,"3,959",530,13.39%,2016
Middlesex Ins Co - 23434,"1,207",0.00%,"1,912",354,18.51%,2016
Utica Mut Ins Co - 25976,561,0.00%,526,34,6.46%,2016
Geovera Specialty Ins Co - 10182,468,0.00%,694,312,44.96%,2016
Vanliner Ins Co - 21172,406,0.00%,196, -   ,0.00%,2016
